model,horizon,n_forecasts,MAPE,sMAPE,MASE,CRPS,Coverage_80
Chronos_Tiny,7,24,15.096814487283755,15.237444374294961,0.21926698276027054,1.1866684509068728,66.66666666666666
Chronos_Tiny,28,23,47.99753406381635,41.62595225918362,0.766558274627003,4.119183603576992,69.56521739130434
TabPFN_TS,7,24,33.548724207833615,39.18658645954109,0.37033881442111094,2.227153932179014,58.333333333333336
TabPFN_TS,28,23,46.271919901542795,63.00767081958642,0.8721806545546137,4.509700604754945,60.86956521739131
TabPFN_Enhanced,7,24,14.139668616096031,14.402438897295141,0.18475051682920735,1.1583293683826916,79.16666666666666
TabPFN_Enhanced,28,23,43.84308756265462,50.70334477027368,0.8575875630860911,4.925810240273891,86.95652173913044
SARIMA_Baseline,7,24,65.17778524689058,76.41599162527916,1.0069439853914033,4.785014632403499,41.66666666666667
SARIMA_Baseline,28,23,69.94801937297198,83.73063310699993,1.1703877206635038,5.759717678118895,47.82608695652174
SARIMA_Optimized,7,24,19.532986717970314,18.692879573038297,0.2005399328111532,1.1918859537524156,79.16666666666666
SARIMA_Optimized,28,23,81.43029127733973,60.068618939046445,0.8358797756890427,5.179394228250399,82.6086956521739
LightGBM_Baseline,7,24,18.649180478724894,18.53897576163176,0.286661803158701,1.5385406726663227,50.0
LightGBM_Baseline,28,23,68.83197988073003,57.556026257997836,0.9855942782361834,4.909233293782864,26.08695652173913
LightGBM_Optimized,7,24,18.256584626690287,18.0354826097472,0.26894492859106467,1.4193120863182493,41.66666666666667
LightGBM_Optimized,28,23,61.24639711539579,52.46528737790469,0.8297227182143695,4.109520438694589,30.434782608695656
